duration,timestamp,x,value_old,value
126,2011-12-31 1:33,3,0.0028,0.0028
0,2011-12-31 1:33,1,0.0747,0.0747
120,2011-12-31 1:35,3,0.0029,0.0029
300,2011-12-31 1:40,1,0.0747,0.0747
60,2011-12-31 1:41,3,0.0164,0.0164
2764,2011-12-31 2:28,3,0.0061,0.0061
842,2011-12-31 2:42,3,0.0028,0.0028
1141,2011-12-31 3:01,3,0.003,0.003
121,2011-12-31 3:03,1,0.0747,0.0747
0,2011-12-31 3:03,3,0.0074,0.0074
240,2011-12-31 3:07,3,0.0028,0.0028
841,2011-12-31 3:21,3,0.0028,0.0028
61,2011-12-31 3:22,3,0.0097,0.0097
841,2011-12-31 3:36,1,0.1087,0.1087
0,2011-12-31 3:36,3,0.0028,0.0028
121,2011-12-31 3:38,1,0.0747,0.0747
0,2011-12-31 3:38,3,0.0034,0.0034
1322,2011-12-31 4:00,3,0.003,0.003
1021,2011-12-31 4:17,3,0.0034,0.0034
2404,2011-12-31 4:57,3,0.006,0.006
480,2011-12-31 5:05,3,0.0045,0.0045
1,2011-12-31 5:05,1,0.1174,0.1174
541,2011-12-31 5:14,3,0.0034,0.0034
481,2011-12-31 5:22,3,0.0076,0.0076
541,2011-12-31 5:31,3,0.0051,0.0051
1262,2011-12-31 5:52,3,0.0031,0.0031
1141,2011-12-31 6:11,3,0.003,0.003
361,2011-12-31 6:17,3,0.0061,0.0061
300,2011-12-31 6:22,3,0.0074,0.0074
1443,2011-12-31 6:46,3,0.0038,0.0038
120,2011-12-31 6:48,3,0.0028,0.0028
60,2011-12-31 6:49,3,0.0028,0.0028
782,2011-12-31 7:02,3,0.0054,0.0054
0,2011-12-31 7:02,1,0.081,0.081
361,2011-12-31 7:08,3,0.0028,0.0028
300,2011-12-31 7:13,3,0.0031,0.0031
301,2011-12-31 7:18,3,0.0029,0.0029
1022,2011-12-31 7:35,3,0.0055,0.0055
961,2011-12-31 7:51,3,0.0028,0.0028
0,2011-12-31 7:51,1,0.0747,0.0747
1142,2011-12-31 8:10,3,0.0064,0.0064
0,2011-12-31 8:10,1,0.1728,0.1728
602,2011-12-31 8:20,3,0.0029,0.0029
1021,2011-12-31 8:37,3,0.0028,0.0028
1262,2011-12-31 8:58,3,0.0029,0.0029
480,2011-12-31 9:06,1,0.1174,0.1174
61,2011-12-31 9:07,3,0.0048,0.0048
901,2011-12-31 9:22,3,0.006,0.006
361,2011-12-31 9:28,3,0.0038,0.0038
0,2011-12-31 9:28,1,0.0747,0.0747
60,2011-12-31 9:29,1,0.0768,0.0768
0,2011-12-31 9:29,3,0.0033,0.0033
361,2011-12-31 9:35,3,0.0118,0.0118
0,2011-12-31 9:35,1,0.0992,0.0992
126,2011-12-30 1:07,3,0.0079,0.0079
240,2011-12-30 1:11,1,0.0887,0.0887
180,2011-12-30 1:14,1,0.0747,0.0747
4807,2011-12-30 2:34,1,0.085,0.085
2523,2011-12-30 3:16,3,0.0093,0.0093
60,2011-12-30 3:17,1,0.0747,0.0747
0,2011-12-30 3:17,3,0.0041,0.0041
121,2011-12-30 3:19,1,0.0747,0.0747
0,2011-12-30 3:19,3,0.0224,0.0224
60,2011-12-30 3:20,1,0.081,0.081
0,2011-12-30 3:20,3,0.0057,0.0057
3185,2011-12-30 4:13,3,0.0034,0.0034
0,2011-12-30 4:13,1,0.081,0.081
300,2011-12-30 4:18,3,0.0031,0.0031
3185,2011-12-30 5:11,3,0.003,0.003
1141,2011-12-30 5:30,3,0.0029,0.0029
2163,2011-12-30 6:07,1,0.0924,0.0924
481,2011-12-30 6:15,1,0.0747,0.0747
541,2011-12-30 6:24,1,0.1505,0.1505
0,2011-12-30 6:24,3,0.0138,0.0138
360,2011-12-30 6:30,3,0.0036,0.0036
1503,2011-12-30 6:55,3,0.0033,0.0033
180,2011-12-30 6:58,1,0.1072,0.1072
0,2011-12-30 6:58,3,0.0125,0.0125
60,2011-12-30 6:59,3,0.0116,0.0116
721,2011-12-30 7:11,3,0.0051,0.0051
1,2011-12-30 7:11,1,0.0768,0.0768
961,2011-12-30 7:27,3,0.0034,0.0034
1622,2011-12-30 7:54,1,0.0887,0.0887
0,2011-12-30 7:54,3,0.0087,0.0087
601,2011-12-30 8:04,1,0.1756,0.1756
0,2011-12-30 8:04,3,0.0028,0.0028
60,2011-12-30 8:05,1,0.2355,0.2355
0,2011-12-30 8:05,3,0.0037,0.0037
541,2011-12-30 8:14,3,0.0058,0.0058
181,2011-12-30 8:17,3,0.0031,0.0031
0,2011-12-30 8:17,1,0.0747,0.0747
420,2011-12-30 8:24,3,0.0032,0.0032
902,2011-12-30 8:39,1,0.1117,0.1117
0,2011-12-30 8:39,3,0.0032,0.0032
1202,2011-12-30 8:59,1,0.1117,0.1117
0,2011-12-30 8:59,3,0.0048,0.0048
240,2011-12-30 9:03,1,0.0975,0.0975
0,2011-12-30 9:03,3,0.0151,0.0151
