timestamp,value
1957-01-01,469.8
1957-04-01,472
1957-07-01,479.5
1957-10-01,474.9
1958-01-01,467.5
1958-04-01,472
1958-07-01,485.8
1958-10-01,499.6
1959-01-01,510.3
1959-04-01,522.7
1959-07-01,525
1959-10-01,528.6
1960-01-01,542.6
1960-04-01,541.1
1960-07-01,545.6
1960-10-01,540.2
1961-01-01,545
1961-04-01,555.5
1961-07-01,567.7
1961-10-01,580.6
1962-01-01,594
1962-04-01,600.4
1962-07-01,609
1962-10-01,612.3
1972-01-01,1230.6
1972-04-01,1266.4
1972-07-01,1290.6
1972-10-01,1328.9
1973-01-01,1377.5
1973-04-01,1413.9
1973-07-01,1433.8
1973-10-01,1476.3
1974-01-01,1491.2
1974-04-01,1530.1
1974-07-01,1560
1974-10-01,1599.7
1975-01-01,1616.1
1975-04-01,1651.9
1975-07-01,1709.8
1975-10-01,1761.8
1976-01-01,1820.5
1976-04-01,1852.3
1976-07-01,1886.6
1976-10-01,1934.3
1977-01-01,1988.6
1977-04-01,2055.9
1977-07-01,2118.5
1977-10-01,2164.3
1980-01-01,2789.8
1980-04-01,2797.4
1980-07-01,2856.5
1980-10-01,2985.6
1981-01-01,3124.2
1981-04-01,3162.5
1981-07-01,3260.6
1981-10-01,3280.8
1982-01-01,3274.3
1982-04-01,3332
1982-07-01,3366.3
1982-10-01,3402.6
1983-01-01,3473.4
1983-04-01,3578.8
1983-07-01,3689.2
1983-10-01,3794.7
1984-01-01,3908.1
1984-04-01,4009.6
1984-07-01,4084.3
1984-10-01,4148.6
2007-01-01,14208.6
2007-04-01,14382.4
2007-07-01,14535
2007-10-01,14681.5
2008-01-01,14651
2008-04-01,14805.6
2008-07-01,14835.2
2008-10-01,14559.5
2009-01-01,14394.5
2009-04-01,14352.9
2009-07-01,14420.3
2009-10-01,14628
2010-01-01,14721.4
2010-04-01,14926.1
2010-07-01,15079.9
2010-10-01,15240.8
2011-01-01,15285.8
2011-04-01,15496.2
2011-07-01,15591.9
2011-10-01,15796.5
2012-01-01,16019.8
2012-04-01,16152.3
2012-07-01,16257.2
2012-10-01,16358.9
2020-01-01,21561.1
2020-04-01,19520.1
2020-07-01,21170.3
2020-10-01,21479.5
